annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction,prix_m2,age_bien_estime,annee_publication,mois_publication,trimestre_publication,nom_mois_publication,categorie_surface,categorie_prix,segment_marche
ANO001449,2023-12-16,Villa à location - Tanger,tanger,malabata,villa,location,7492.2,252.19,4,2,0,2009,29.70855307506245,17,2023,12,4,December,Grand (> 150 m²),Economy,Market Standard
ANO000847,2023-07-08,Appartement 86m² Ville Nouvelle,meknès,ville nouvelle,appartement,vente,400513.91,86.37,1,1,0,2004,4637.187796688664,22,2023,7,3,July,Moyen (80-150 m²),Medium,Market Standard
ANO000701,2023-09-05,Bureau moderne Oujda,oujda,centre,bureau,vente,60000000.0,83.92,0,0,6,2003,714966.6348903718,23,2023,9,3,September,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO001129,2023-05-31,Villa 204m² Ville Nouvelle,meknès,ville nouvelle,villa,vente,2752950.21,204.88,6,4,0,2003,13436.890911753222,23,2023,5,2,May,Grand (> 150 m²),High standard,Market Standard
ANO001058,2024-07-26,Beau Appartement Tétouan,tétouan,m'diq,appartement,vente,2243298.48,52.07,20,10,2,2016,43082.359900134434,10,2024,7,3,July,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000873,2023-02-16,Villa moderne Marrakech,marrakech,inconnu,villa,vente,4898739.3,256.56,4,3,0,2008,19093.93241347053,18,2023,2,1,February,Grand (> 150 m²),Luxury,Market Standard
ANO000598,2023-10-26,Beau Duplex Casablanca,casablanca,hay mohammadi,duplex,vente,1869015.65,141.99,2,1,5,2012,13163.009014719344,14,2023,10,4,October,Moyen (80-150 m²),High standard,Market Standard
ANO000210,2023-03-07,Villa 254m² Talborjt,agadir,talborjt,villa,location,23245.28,254.46,4,2,0,2011,91.3514108307789,15,2023,3,1,March,Grand (> 150 m²),Economy,Market Standard
ANO000050,2024-11-19,Appartement moderne Agadir,agadir,centre,appartement,vente,391545.21,98.05,4,2,3,2012,3993.321876593575,14,2024,11,4,November,Moyen (80-150 m²),Medium,Market Standard
ANO000786,2024-08-26,Villa 220m² Centre,kenitra,centre,villa,vente,6391875.8,220.46,4,3,0,2011,28993.35843236868,15,2024,8,3,August,Grand (> 150 m²),Luxury,Market Standard
ANO000377,2024-09-21,Appartement moderne Agadir,agadir,inconnu,appartement,vente,542303.4,93.22,2,2,1,2012,5817.457627118644,14,2024,9,3,September,Moyen (80-150 m²),High standard,Market Standard
ANO001002,2024-06-11,Beau Appartement Agadir,agadir,hay mohammadi,appartement,location,11020.3,98.91,4,2,1,2011,111.41745020725912,15,2024,6,2,June,Moyen (80-150 m²),Medium,Market Standard
ANO000259,2023-07-26,Appartement 45m² Talborjt,agadir,talborjt,appartement,vente,60000000.0,45.74,3,1,5,2004,1311762.1337997376,22,2023,7,3,July,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000999,2023-10-08,Bureau à vente - Meknès,meknès,inconnu,bureau,vente,819232.62,123.1,0,0,2,2012,6655.017221770918,14,2023,10,4,October,Moyen (80-150 m²),Medium,Market Standard
ANO001422,2024-06-25,Villa 245m² Iberia,tanger,iberia,villa,location,22249.45,245.21,5,3,0,2013,90.73630765466335,13,2024,6,2,June,Grand (> 150 m²),Economy,Market Standard
ANO000996,2024-01-27,Appartement moderne Casablanca,casablanca,ain diab,appartement,location,1739.18,81.93,2,2,4,2001,21.227633345538873,25,2024,1,1,January,Moyen (80-150 m²),Economy,Market Standard
ANO001093,2024-11-26,Appartement 88m² Ocean,rabat,ocean,appartement,location,9872.32,88.36,3,1,4,2001,111.72838388411046,25,2024,11,4,November,Moyen (80-150 m²),Medium,Market Standard
ANO000489,2024-02-07,Beau Appartement Agadir,agadir,inconnu,appartement,vente,1767790.62,99.71,1,1,0,2023,17729.32123157156,3,2024,2,1,February,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO000269,2024-12-11,Villa à vente - Tétouan,tétouan,m'diq,villa,vente,5348255.66,225.27,5,3,0,2010,23741.53531317974,16,2024,12,4,December,Grand (> 150 m²),Luxury,Market Standard
ANO000401,2024-12-14,Appartement à vente - Casablanca,casablanca,ain diab,appartement,vente,80000000.0,74.26,4,2,0,2001,1077295.987072448,25,2024,12,4,December,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO001107,2023-06-17,Beau Appartement Meknès,meknès,ville nouvelle,appartement,location,2738.49,143.0,4,2,1,2011,19.15027972027972,15,2023,6,2,June,Moyen (80-150 m²),Economy,Market Standard
ANO000828,2024-02-09,Villa à vente - Tétouan,tétouan,m'diq,villa,vente,3059688.95,409.4,5,3,0,2003,7473.592940889107,23,2024,2,1,February,Grand (> 150 m²),High standard,Market Standard
ANO001219,2024-08-29,Villa à vente - Marrakech,marrakech,targa,villa,vente,2274681.74,279.13,4,3,0,2010,8149.184036112207,16,2024,8,3,August,Grand (> 150 m²),High standard,Market Standard
ANO000633,2023-02-09,Terrain 491m² Centre,kenitra,centre,terrain,vente,722361.18,491.84,0,0,0,2014,1468.6914037085232,12,2023,2,1,February,Grand (> 150 m²),High standard,Market Standard
ANO000029,2023-07-23,Appartement moderne Rabat,rabat,inconnu,appartement,vente,452980.77,72.46,2,1,1,2013,6251.4597019044995,13,2023,7,3,July,Petit (< 80 m²),Medium,Market Standard
ANO000308,2024-08-27,Bureau 125m² Meknès,meknès,inconnu,bureau,vente,789393.88,125.32,0,0,2,2004,6299.025534631344,22,2024,8,3,August,Moyen (80-150 m²),Medium,Market Standard
ANO000150,2024-09-20,Beau Villa Tanger,tanger,iberia,villa,location,18360.72,208.89,4,2,0,2001,87.89659629470057,25,2024,9,3,September,Grand (> 150 m²),Economy,Market Standard
ANO000407,2024-04-23,Beau Appartement Agadir,agadir,hay mohammadi,appartement,vente,449758.35,138.63,3,2,0,2000,3244.307509197143,26,2024,4,2,April,Moyen (80-150 m²),Medium,Market Standard
ANO000777,2024-01-03,Villa à vente - Kenitra,kenitra,hay essalam,villa,vente,2547768.88,317.93,5,2,0,2007,8013.615827383386,19,2024,1,1,January,Grand (> 150 m²),High standard,Market Standard
ANO000345,2024-02-02,Beau Appartement Meknès,meknès,inconnu,appartement,vente,2159689.25,101.18,4,3,3,2006,21345.021249258745,20,2024,2,1,February,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO000368,2024-12-23,Villa moderne Tétouan,tétouan,inconnu,villa,vente,751872.31,417.07,4,3,0,2010,1802.748483468003,16,2024,12,4,December,Grand (> 150 m²),Medium,Market Standard
ANO000319,2024-10-21,Villa 339m² Meknès,meknès,inconnu,villa,vente,2158924.41,339.38,4,2,0,2012,6361.377836053981,14,2024,10,4,October,Grand (> 150 m²),Medium,Market Standard
ANO000675,2024-08-03,Appartement 52m² Talborjt,agadir,talborjt,appartement,vente,713279.03,52.28,3,2,9,2011,13643.43974751339,15,2024,8,3,August,Petit (< 80 m²),Luxury,Market Standard
ANO001051,2023-01-12,Appartement à location - Casablanca,casablanca,inconnu,appartement,location,2604.15,75.77,2,2,5,2004,34.369143460472486,22,2023,1,1,January,Petit (< 80 m²),Economy,Market Standard
ANO000135,2024-02-06,Appartement moderne Agadir,agadir,hay mohammadi,appartement,vente,550629.24,86.17,4,3,2,2011,6390.034118602762,15,2024,2,1,February,Moyen (80-150 m²),High standard,Market Standard
ANO000863,2024-09-25,Appartement moderne Oujda,oujda,centre,appartement,vente,391690.34,79.93,2,2,0,2011,4900.417114975604,15,2024,9,3,September,Petit (< 80 m²),Medium,Market Standard
ANO000454,2024-07-30,Appartement à vente - Oujda,oujda,hay qods,appartement,vente,572003.19,84.62,1,2,3,2014,6759.66899078232,12,2024,7,3,July,Moyen (80-150 m²),High standard,Market Standard
ANO001246,2023-07-18,Appartement moderne Rabat,rabat,inconnu,appartement,vente,535353.14,73.55,2,1,3,1997,7278.764649898029,29,2023,7,3,July,Petit (< 80 m²),High standard,Market Standard
ANO000231,2024-12-19,Beau Appartement Kenitra,kenitra,centre,appartement,vente,506684.06,113.98,3,1,4,2001,4445.376908229514,25,2024,12,4,December,Moyen (80-150 m²),High standard,Market Standard
ANO000478,2023-01-27,Terrain 403m² Marrakech,marrakech,inconnu,terrain,vente,1044721.16,403.26,0,0,0,2005,2590.688786390914,21,2023,1,1,January,Grand (> 150 m²),Luxury,Market Standard
ANO001024,2023-10-25,Beau Appartement Meknès,meknès,hamria,appartement,location,2532.51,53.27,18,9,6,2023,47.54101745823165,3,2023,10,4,October,Petit (< 80 m²),Economy,Market Standard
ANO001222,2023-10-13,Beau Terrain Rabat,rabat,ocean,terrain,vente,893713.46,443.13,0,0,0,1981,2016.820030239433,45,2023,10,4,October,Grand (> 150 m²),High standard,Market Standard
ANO000967,2023-02-23,Appartement 92m² Centre,kenitra,centre,appartement,vente,515506.3,92.18,2,1,1,2009,5592.387719678889,17,2023,2,1,February,Moyen (80-150 m²),High standard,Market Standard
ANO000095,2024-05-22,Bureau moderne Marrakech,marrakech,medina,bureau,vente,1834406.73,70.49,0,0,4,2024,26023.644914172226,2,2024,5,2,May,Petit (< 80 m²),Luxury,Market Standard
ANO001384,2024-12-30,Beau Appartement Casablanca,casablanca,californie,appartement,vente,579223.62,83.49,2,2,0,2016,6937.640675530004,10,2024,12,4,December,Moyen (80-150 m²),High standard,Market Standard
ANO000700,2023-10-01,Appartement à vente - Kenitra,kenitra,centre,appartement,vente,421377.13,46.16,3,1,7,2016,9128.620667244368,10,2023,10,4,October,Petit (< 80 m²),Medium,Market Standard
ANO000455,2024-11-02,Beau Villa Agadir,agadir,inconnu,villa,location,24717.48,172.15,4,3,0,2019,143.58106302643043,7,2024,11,4,November,Grand (> 150 m²),Medium,Market Standard
ANO000168,2024-08-08,Beau Villa Tanger,tanger,centre ville,villa,vente,3154708.32,138.11,4,2,0,2014,22841.997827818403,12,2024,8,3,August,Moyen (80-150 m²),High standard,Market Standard
ANO000766,2023-01-31,Villa à location - Tétouan,tétouan,centre,villa,location,320000.0,283.47,5,3,0,2021,1128.8672522665536,5,2023,1,1,January,Grand (> 150 m²),Medium,Market Standard
ANO000593,2024-12-04,Terrain moderne Kenitra,kenitra,centre,terrain,location,2465.88,295.56,0,0,0,2006,8.34307754770605,20,2024,12,4,December,Grand (> 150 m²),Economy,Market Standard
ANO001466,2024-03-26,Appartement à vente - Marrakech,marrakech,targa,appartement,vente,387097.9,62.48,2,1,4,2002,6195.548975672215,24,2024,3,1,March,Petit (< 80 m²),Medium,Market Standard
ANO001425,2023-04-12,Appartement moderne Tanger,tanger,iberia,appartement,vente,386971.12,58.01,2,1,9,1993,6670.7657300465435,33,2023,4,2,April,Petit (< 80 m²),Medium,Market Standard
ANO000136,2023-09-26,Beau Villa Tanger,tanger,inconnu,villa,vente,2511424.97,164.59,3,1,0,2008,15258.67288413634,18,2023,9,3,September,Grand (> 150 m²),High standard,Market Standard
ANO000998,2024-06-25,Terrain moderne Tanger,tanger,centre ville,terrain,location,3922.54,308.64,0,0,0,2008,12.709110938310006,18,2024,6,2,June,Grand (> 150 m²),Economy,Market Standard
ANO000321,2023-05-02,Appartement moderne Meknès,meknès,ville nouvelle,appartement,vente,627126.73,118.23,3,2,0,2011,5304.294426118582,15,2023,5,2,May,Moyen (80-150 m²),High standard,Market Standard
ANO000654,2024-07-18,Beau Villa Casablanca,casa,maarif,villa,vente,2311619.46,245.61,3,2,0,2004,9411.748137290826,22,2024,7,3,July,Grand (> 150 m²),High standard,Market Standard
ANO001279,2024-03-20,Villa à vente - Meknès,meknès,inconnu,villa,vente,1714937.87,218.2,5,2,0,2019,7859.476947754355,7,2024,3,1,March,Grand (> 150 m²),Medium,Market Standard
ANO000951,2024-02-22,Beau Appartement Rabat,rabat,inconnu,appartement,vente,484207.74,105.83,2,1,1,1983,4575.335349144855,43,2024,2,1,February,Moyen (80-150 m²),Medium,Market Standard
ANO000696,2024-06-14,Beau Appartement Meknès,meknès,inconnu,appartement,vente,1511715.03,72.3,3,2,4,2008,20908.921576763485,18,2024,6,2,June,Petit (< 80 m²),Luxury,Market Standard
ANO000005,2024-10-20,Villa moderne Oujda,oujda,centre,villa,vente,6362943.41,96.94,4,2,0,2009,65637.95553950898,17,2024,10,4,October,Moyen (80-150 m²),Luxury,Market Standard
ANO001396,2024-03-31,Appartement moderne Tétouan,tétouan,m'diq,appartement,vente,60000000.0,143.73,3,2,0,2004,417449.38426215824,22,2024,3,1,March,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO001068,2023-09-01,Appartement moderne Fès,fès,ville nouvelle,appartement,vente,601053.38,90.56,4,2,3,2019,6637.073542402827,7,2023,9,3,September,Moyen (80-150 m²),High standard,Market Standard
ANO001337,2023-11-21,Appartement moderne Agadir,agadir,talborjt,appartement,vente,1804690.46,100.83,4,2,2,2010,17898.34830903501,16,2023,11,4,November,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO001460,2024-05-22,Villa 273m² Medina,marrakech,medina,villa,vente,3221034.83,273.62,6,3,0,2003,11771.927600321615,23,2024,5,2,May,Grand (> 150 m²),High standard,Market Standard
ANO001336,2023-06-20,Beau Appartement Fès,fès,inconnu,appartement,vente,621108.07,17.39,4,3,2,1990,35716.39275445658,36,2023,6,2,June,Petit (< 80 m²),High standard,Exception (Luxury/Grand)
ANO000902,2024-04-02,Beau Appartement Marrakech,marrakech,gueliz,appartement,location,2691.38,91.23,4,3,0,2018,29.501041324125836,8,2024,4,2,April,Moyen (80-150 m²),Economy,Market Standard
ANO001193,2023-12-10,Appartement moderne Tanger,tanger,inconnu,appartement,vente,450165.41,69.04,3,1,1,2003,6520.356460023174,23,2023,12,4,December,Petit (< 80 m²),Medium,Market Standard
ANO000008,2024-05-12,Terrain moderne Rabat,rabat,ocean,terrain,vente,732267.11,308.1,0,0,0,1978,2376.7189548847773,48,2024,5,2,May,Grand (> 150 m²),High standard,Market Standard
ANO000273,2024-05-13,Appartement moderne Meknès,meknès,hamria,appartement,vente,582046.03,107.24,3,1,2,2010,5427.508672137263,16,2024,5,2,May,Moyen (80-150 m²),High standard,Market Standard
ANO000283,2023-09-29,Duplex à vente - Marrakech,marrakech,targa,duplex,vente,1973501.19,272.77,3,2,3,2004,7235.037540785277,22,2023,9,3,September,Grand (> 150 m²),High standard,Exception (Luxury/Grand)
ANO001207,2024-12-19,Appartement moderne Rabat,rabat,agdal,appartement,location,2773.49,107.37,1,1,5,1979,25.8311446400298,47,2024,12,4,December,Moyen (80-150 m²),Economy,Market Standard
ANO000895,2023-02-11,Beau Bureau Meknès,meknès,ville nouvelle,bureau,vente,1068220.89,149.27,0,0,4,2012,7156.299926308031,14,2023,2,1,February,Moyen (80-150 m²),High standard,Market Standard
ANO001098,2023-05-04,Beau Villa Casablanca,casablanca,maarif,villa,location,3824.38,352.16,3,2,0,2005,10.859779645615628,21,2023,5,2,May,Grand (> 150 m²),Economy,Market Standard
ANO001045,2023-08-23,Villa à location - Casablanca,casa,bourgogne,villa,location,13612.79,369.6,3,1,0,2000,36.831141774891776,26,2023,8,3,August,Grand (> 150 m²),Economy,Market Standard
ANO000519,2024-07-03,Appartement 94m² Tétouan,tétouan,inconnu,appartement,vente,522822.53,94.18,2,1,10,2017,5551.311637290295,9,2024,7,3,July,Moyen (80-150 m²),High standard,Market Standard
ANO000936,2023-08-21,Beau Appartement Kenitra,kenitra,hay essalam,appartement,vente,336850.44,82.99,1,1,5,2003,4058.9280636221233,23,2023,8,3,August,Moyen (80-150 m²),Medium,Market Standard
ANO001329,2024-10-15,Appartement moderne Agadir,agadir,centre,appartement,vente,579145.84,32.95,3,2,3,2014,17576.50500758725,12,2024,10,4,October,Petit (< 80 m²),High standard,Market Standard
ANO000674,2024-04-01,Beau Villa Tétouan,tétouan,inconnu,villa,vente,1580370.8,254.79,5,2,0,2012,6202.640605989246,14,2024,4,2,April,Grand (> 150 m²),Medium,Market Standard
ANO001109,2023-11-25,Villa 288m² Hay Riad,rabat,hay riad,villa,vente,2751938.67,288.01,4,2,0,1999,9555.010832957189,27,2023,11,4,November,Grand (> 150 m²),High standard,Market Standard
ANO000765,2023-03-27,Terrain moderne Tétouan,tétouan,m'diq,terrain,vente,825595.44,203.01,0,0,0,2008,4066.7722772277225,18,2023,3,1,March,Grand (> 150 m²),High standard,Market Standard
ANO000125,2023-01-10,Villa 326m² Oujda,oujda,inconnu,villa,vente,8176715.41,326.74,4,2,0,2024,25025.143569810858,2,2023,1,1,January,Grand (> 150 m²),Luxury,Market Standard
ANO000348,2024-03-02,Terrain 429m² Agadir,agadir,inconnu,terrain,vente,662334.72,429.44,0,0,0,2009,1542.321907600596,17,2024,3,1,March,Grand (> 150 m²),High standard,Market Standard
ANO000655,2023-09-25,Appartement 101m² Hay Essalam,kenitra,hay essalam,appartement,location,8833.8,101.13,2,1,0,2014,87.35093444081875,12,2023,9,3,September,Moyen (80-150 m²),Medium,Market Standard
ANO000190,2024-12-25,Beau Villa Fès,fès,medina,villa,location,6783.83,100.34,4,3,0,1994,67.60843133346621,32,2024,12,4,December,Moyen (80-150 m²),Economy,Market Standard
ANO000320,2024-01-27,Appartement moderne Tétouan,tétouan,centre,appartement,vente,2182701.29,99.24,2,1,3,2013,21994.16858121725,13,2024,1,1,January,Moyen (80-150 m²),Luxury,Exception (Luxury/Grand)
ANO001065,2024-10-14,Terrain à vente - Agadir,agadir,hay mohammadi,terrain,vente,1484495.55,225.88,0,0,0,2009,6572.053966707987,17,2024,10,4,October,Grand (> 150 m²),Luxury,Market Standard
ANO001471,2023-03-23,Beau Terrain Casablanca,casablanca,californie,terrain,vente,599496.44,292.67,0,0,0,1984,2048.3699730071407,42,2023,3,1,March,Grand (> 150 m²),Medium,Market Standard
ANO000944,2023-04-20,Appartement à vente - Tanger,tanger,malabata,appartement,vente,1853397.19,42.4,1,1,5,2010,43712.19787735849,16,2023,4,2,April,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO001165,2023-08-14,Appartement à vente - Tétouan,tétouan,m'diq,appartement,vente,2198479.67,71.62,3,2,4,2014,30696.448896956153,12,2023,8,3,August,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
ANO000646,2024-02-16,Appartement moderne Marrakech,marrakech,medina,appartement,vente,1398811.87,91.34,4,3,1,2013,15314.340595576967,13,2024,2,1,February,Moyen (80-150 m²),Luxury,Market Standard
ANO000116,2024-12-02,Appartement moderne Meknès,meknès,ville nouvelle,appartement,vente,577845.99,48.8,2,2,7,1998,11841.106352459017,28,2024,12,4,December,Petit (< 80 m²),High standard,Market Standard
ANO001358,2024-05-07,Villa moderne Casablanca,casablanca,ain diab,villa,location,7390.54,126.99,4,2,0,1997,58.19781085124813,29,2024,5,2,May,Moyen (80-150 m²),Economy,Market Standard
ANO000491,2024-02-28,Beau Villa Oujda,oujda,inconnu,villa,vente,7794947.23,201.22,5,3,0,2008,38738.43171652917,18,2024,2,1,February,Grand (> 150 m²),Luxury,Market Standard
ANO000188,2024-12-02,Appartement 106m² Ville Nouvelle,fès,ville nouvelle,appartement,vente,799048.1,106.78,3,2,4,1995,7483.12511706312,31,2024,12,4,December,Moyen (80-150 m²),Luxury,Market Standard
ANO000727,2023-03-19,Appartement 85m² Agadir,agadir,inconnu,appartement,location,11237.77,85.17,3,2,9,2008,131.9451684865563,18,2023,3,1,March,Moyen (80-150 m²),Medium,Market Standard
ANO000818,2024-12-12,Beau Terrain Tétouan,tétouan,centre,terrain,vente,550453.34,291.94,0,0,0,2004,1885.5016099198465,22,2024,12,4,December,Grand (> 150 m²),Medium,Market Standard
ANO001137,2023-03-20,Villa moderne Agadir,agadir,talborjt,villa,location,22665.15,413.75,5,2,0,2004,54.77981873111783,22,2023,3,1,March,Grand (> 150 m²),Economy,Market Standard
ANO001272,2023-10-08,Appartement 53m² Anfa,casablanca,anfa,appartement,vente,561720.45,53.39,3,1,1,1973,10521.079790222888,53,2023,10,4,October,Petit (< 80 m²),High standard,Market Standard
ANO000344,2024-08-05,Terrain moderne Marrakech,marrakech,gueliz,terrain,vente,493162.23,269.11,0,0,0,1996,1832.5674631191705,30,2024,8,3,August,Grand (> 150 m²),Medium,Market Standard
ANO001141,2023-03-12,Beau Appartement Kenitra,kenitra,inconnu,appartement,vente,477117.47,83.07,4,3,5,2012,5743.55928734802,14,2023,3,1,March,Moyen (80-150 m²),Medium,Market Standard
ANO000845,2023-10-28,Bureau moderne Meknès,meknès,inconnu,bureau,location,5688.82,83.25,0,0,7,2006,68.33417417417417,20,2023,10,4,October,Moyen (80-150 m²),Economy,Market Standard
ANO001106,2024-03-18,Bureau 117m² Centre,oujda,centre,bureau,vente,1366578.42,117.84,0,0,2,2002,11596.89765784114,24,2024,3,1,March,Moyen (80-150 m²),Luxury,Market Standard
ANO001385,2024-07-31,Villa moderne Casablanca,casablanca,inconnu,villa,location,8972.22,190.25,5,2,0,2014,47.16015768725361,12,2024,7,3,July,Grand (> 150 m²),Economy,Market Standard
ANO000725,2024-09-18,Appartement à location - Tanger,tanger,malabata,appartement,location,2046.47,88.79,1,1,3,2003,23.0484288771258,23,2024,9,3,September,Moyen (80-150 m²),Economy,Market Standard
ANO000556,2023-01-11,Appartement moderne Tanger,tanger,centre ville,appartement,vente,547255.83,60.02,4,1,3,2010,9117.891202932355,16,2023,1,1,January,Petit (< 80 m²),High standard,Market Standard
ANO000071,2023-06-14,Terrain à vente - Agadir,agadir,hay mohammadi,terrain,vente,971267.15,436.27,0,0,0,2017,2226.298278588947,9,2023,6,2,June,Grand (> 150 m²),Luxury,Market Standard
ANO000488,2024-08-12,Appartement moderne Casablanca,casablanca,anfa,appartement,location,1612.34,79.77,2,2,0,1987,20.21236053654256,39,2024,8,3,August,Petit (< 80 m²),Economy,Market Standard
ANO000037,2023-11-11,Bureau moderne Tétouan,tétouan,inconnu,bureau,vente,1303020.16,117.02,0,0,1,1994,11135.021022047513,32,2023,11,4,November,Moyen (80-150 m²),High standard,Market Standard
ANO001161,2024-07-13,Bureau 15m² Hay Riad,rabat,hay riad,bureau,vente,1079127.77,15.87,0,0,3,1994,67997.9691241336,32,2024,7,3,July,Petit (< 80 m²),High standard,Market Standard
ANO000110,2023-10-21,Terrain 374m² Casablanca,casablanca,inconnu,terrain,location,4150.0,374.89,0,0,0,2009,11.069913841393475,17,2023,10,4,October,Grand (> 150 m²),Economy,Market Standard
ANO001046,2023-04-13,Appartement 108m² M'diq,tétouan,m'diq,appartement,location,2412.64,108.79,2,2,3,2001,22.177038330728926,25,2023,4,2,April,Moyen (80-150 m²),Economy,Market Standard
ANO000480,2023-06-06,Beau Villa Casablanca,casablanca,ain diab,villa,vente,8411018.36,289.28,5,2,0,2005,29075.69952986726,21,2023,6,2,June,Grand (> 150 m²),Luxury,Market Standard
ANO000589,2024-07-04,Appartement moderne Rabat,rabat,agdal,appartement,vente,520472.5,63.92,4,2,4,2024,8142.561013767208,2,2024,7,3,July,Petit (< 80 m²),High standard,Market Standard
ANO000128,2024-12-21,Beau Duplex Agadir,agadir,centre,duplex,vente,1440364.41,43.81,2,2,0,2005,32877.52590732709,21,2024,12,4,December,Petit (< 80 m²),Medium,Market Standard
ANO000961,2024-02-01,Terrain moderne Agadir,agadir,hay mohammadi,terrain,location,514.12,45.52,0,0,0,2005,11.294376098418278,21,2024,2,1,February,Petit (< 80 m²),Economy,Market Standard
ANO000004,2023-06-17,Beau Villa Oujda,oujda,inconnu,villa,vente,2471280.02,212.93,5,3,0,2006,11606.067815714085,20,2023,6,2,June,Grand (> 150 m²),High standard,Market Standard
ANO000173,2024-05-16,Bureau 80m² Medina,fès,medina,bureau,location,5601.47,80.9,0,0,5,2001,69.23943139678616,25,2024,5,2,May,Moyen (80-150 m²),Economy,Market Standard
ANO001395,2024-02-24,Appartement à location - Kenitra,kenitra,centre,appartement,location,1793.75,70.38,3,1,7,2006,25.486643932935493,20,2024,2,1,February,Petit (< 80 m²),Economy,Market Standard
ANO000930,2024-04-06,Villa 213m² Tétouan,tétouan,inconnu,villa,location,6207.77,213.51,3,2,0,2010,29.07484426958925,16,2024,4,2,April,Grand (> 150 m²),Economy,Market Standard
ANO000563,2023-07-10,Appartement moderne Oujda,oujda,hay qods,appartement,vente,494245.92,90.03,3,1,0,2012,5489.7914028657115,14,2023,7,3,July,Moyen (80-150 m²),Medium,Market Standard
ANO000572,2023-09-16,Terrain moderne Meknès,meknès,ville nouvelle,terrain,vente,1054226.5,235.76,0,0,0,2009,4471.608839497794,17,2023,9,3,September,Grand (> 150 m²),Luxury,Market Standard
ANO000937,2024-05-12,Villa à location - Tanger,tanger,inconnu,villa,location,29492.34,206.04,6,4,0,2009,143.1389050669773,17,2024,5,2,May,Grand (> 150 m²),Medium,Market Standard
ANO001374,2023-08-25,Appartement 69m² Centre,tétouan,centre,appartement,location,6336.31,69.81,3,1,2,2011,90.76507663658502,15,2023,8,3,August,Petit (< 80 m²),Economy,Market Standard
ANO000465,2023-06-03,Appartement 88m² Casablanca,casablanca,inconnu,appartement,location,3166.43,88.41,1,1,6,1994,35.81529238773894,32,2023,6,2,June,Moyen (80-150 m²),Economy,Market Standard
ANO001285,2024-04-15,Appartement 57m² Fès,fès,inconnu,appartement,vente,705527.57,57.32,3,2,4,1994,12308.5758897418,32,2024,4,2,April,Petit (< 80 m²),Luxury,Market Standard
ANO000529,2023-08-18,Beau Villa Tétouan,tétouan,inconnu,villa,location,9657.63,305.45,5,3,0,2011,31.617711573088883,15,2023,8,3,August,Grand (> 150 m²),Economy,Market Standard
ANO001351,2023-12-26,Villa 264m² Hamria,meknès,hamria,villa,location,7323.89,264.5,4,2,0,2013,27.689565217391305,13,2023,12,4,December,Grand (> 150 m²),Economy,Market Standard
ANO000440,2024-03-25,Appartement 69m² Targa,marrakech,targa,appartement,location,7511.64,69.76,1,1,6,2008,107.67832568807339,18,2024,3,1,March,Petit (< 80 m²),Economy,Market Standard
ANO000154,2024-12-04,Beau Terrain Tanger,tanger,malabata,terrain,vente,440636.63,535.77,0,0,0,2010,822.4361759710324,16,2024,12,4,December,Grand (> 150 m²),Medium,Market Standard
ANO000661,2024-01-30,Terrain moderne Meknès,meknès,hamria,terrain,vente,508502.98,134.45,0,0,0,2004,3782.0972852361474,22,2024,1,1,January,Moyen (80-150 m²),Medium,Market Standard
ANO001283,2023-09-04,Duplex 126m² Kenitra,kenitra,inconnu,duplex,vente,2454517.0,126.85,4,2,6,2008,19349.7595585337,18,2023,9,3,September,Moyen (80-150 m²),Luxury,Market Standard
ANO000751,2024-07-22,Bureau 180m² Kenitra,kenitra,inconnu,bureau,location,4595.92,180.45,0,0,8,1998,25.469215849265726,28,2024,7,3,July,Grand (> 150 m²),Economy,Market Standard
ANO001043,2023-02-27,Appartement 117m² Souissi,rabat,souissi,appartement,vente,320877.27,117.96,4,3,3,1998,2720.2210071210584,28,2023,2,1,February,Moyen (80-150 m²),Medium,Market Standard
ANO000084,2024-10-28,Beau Villa Tanger,tanger,inconnu,villa,vente,6607472.57,149.13,4,3,0,2017,44306.79655334273,9,2024,10,4,October,Moyen (80-150 m²),Luxury,Market Standard
ANO001463,2024-09-17,Duplex moderne Marrakech,marrakech,inconnu,duplex,location,5552.93,78.37,2,2,2,2011,70.85530177363788,15,2024,9,3,September,Petit (< 80 m²),Economy,Market Standard
ANO001199,2023-05-22,Beau Appartement Rabat,rabat,hay riad,appartement,location,180.0,113.66,2,1,1,1985,1.5836705965159248,41,2023,5,2,May,Moyen (80-150 m²),Economy,Market Standard
ANO000756,2023-04-28,Beau Appartement Kenitra,kenitra,hay essalam,appartement,vente,2477003.0,40.54,2,1,0,2012,61100.22200296004,14,2023,4,2,April,Petit (< 80 m²),Luxury,Exception (Luxury/Grand)
